scientific_name,family,establishment_means,year,record type,category,latitude,longitude
Styphelia longifolia,Ericaceae,native,1933,voucher,long unseen,-34.13,151
Symplocos thwaitesii,Symplocaceae,native,1977,voucher,long unseen,-34.15,151.03
Syzygium australe,Myrtaceae,native,1982,voucher,long unseen,-34.07,151.07
Syzygium oleosum,Myrtaceae,native,1988,voucher,long unseen,-34.193799,151.029179
Tasmannia insipida,Winteraceae,native,1983,voucher,long unseen,-34.15,151.03
Tetratheca ericifolia,Elaeocarpaceae,native,1960,voucher,long unseen,-34.07,151.02
Thelymitra venosa,Orchidaceae,native,1950,voucher,long unseen,-34.115091,151.001162
Trachymene incisa,Araliaceae,native,1934,voucher,long unseen,-34.07,151.07
Triglochin striata,Juncaginaceae,native,1965,voucher,long unseen,-34.12,151.12
Typhonium eliosurum,Araceae,native,1978,voucher,long unseen,-34.2,151.02
Utricularia biloba,Lentibulariaceae,native,1988,voucher,long unseen,-34.086162,151.16423
Vallisneria nana,Hydrocharitaceae,native,1973,voucher,long unseen,-34.083333,151.05
Veronica plebeia,Plantaginaceae,native,1961,voucher,long unseen,-34.07,151.08
Wahlenbergia gracilis,Campanulaceae,native,1971,voucher,long unseen,-34.17,151.07
Wahlenbergia stricta,Campanulaceae,native,1950,voucher,long unseen,-34.1,151.066667
Wilkiea hugeliana,Monimiaceae,native,1986,voucher,long unseen,-34.08,151.05
Zieria compacta,Rutaceae,native,1961,voucher,long unseen,-34.066667,151.016667
Zostera capricorni,Zosteraceae,native,1976,voucher,long unseen,-34.078433,151.10742
